Numero de regras = 835
premissa ==> conclusao (suporte,confianca)
{globo orkut ad.yieldmanager.com ad.doubleclick.net uai}==>{yahoo} (0.01,1.0)
{globo orkut ad.yieldmanager.com yahoo uai}==>{ad.doubleclick.net} (0.01,1.0)
{globo terra rad.msn}==>{google} (0.01,1.0)
{globo uai gstatic}==>{yahoo} (0.01,1.0)
{google ad.doubleclick.net view.atdmt.com ad.yieldmanager.com uai}==>{yahoo} (0.01,1.0)
{google bn.uol.com.br view.atdmt.com globo rad.msn}==>{yahoo} (0.01,1.0)
{google rad.msn view.atdmt.com bn.uol.com.br terra}==>{yahoo} (0.01,1.0)
{google yahoo view.atdmt.com bn.uol.com.br terra}==>{rad.msn} (0.01,1.0)
{gstatic ad.doubleclick.net ad.yieldmanager.com globo}==>{google yahoo} (0.01,1.0)
{orkut gstatic ad.doubleclick.net google}==>{yahoo} (0.01,1.0)
{orkut gstatic ad.doubleclick.net yahoo}==>{google} (0.01,1.0)
{orkut terra google globo}==>{ad.doubleclick.net} (0.01,1.0)
{orkut view.atdmt.com ad.doubleclick.net uai}==>{ad.yieldmanager.com yahoo} (0.01,1.0)
{orkut yahoo bn.uol.com.br google ad.doubleclick.net view.atdmt.com}==>{ad.yieldmanager.com} (0.01,1.0)
{rad.msn ad.doubleclick.net bn.uol.com.br ad.yieldmanager.com}==>{google} (0.01,1.0)
{rad.msn bn.uol.com.br globo ad.doubleclick.net}==>{google yahoo} (0.01,1.0)
{rad.msn view.atdmt.com yahoo bn.uol.com.br ad.doubleclick.net}==>{google} (0.01,1.0)
{rad.msn yahoo ad.yieldmanager.com view.atdmt.com orkut}==>{google} (0.01,1.0)
{rad.msn yahoo globo ad.doubleclick.net}==>{google bn.uol.com.br} (0.01,1.0)
{rad.msn yahoo view.atdmt.com bn.uol.com.br terra}==>{google} (0.01,1.0)
{terra ad.yieldmanager.com gstatic}==>{google yahoo} (0.01,1.0)
{uai ad.doubleclick.net view.atdmt.com bn.uol.com.br}==>{google yahoo} (0.01,1.0)
{uai globo rad.msn yahoo}==>{bn.uol.com.br} (0.01,1.0)
{uai globo view.atdmt.com terra}==>{google} (0.01,1.0)
{uai google ad.doubleclick.net globo orkut}==>{yahoo} (0.01,1.0)
{uai terra view.atdmt.com ad.yieldmanager.com}==>{google yahoo} (0.01,1.0)
{view.atdmt.com rad.msn ad.yieldmanager.com bn.uol.com.br google}==>{yahoo} (0.01,1.0)
{view.atdmt.com rad.msn ad.yieldmanager.com bn.uol.com.br yahoo}==>{google} (0.01,1.0)
{yahoo bn.uol.com.br view.atdmt.com globo rad.msn}==>{google} (0.01,1.0)
{yahoo uai terra rad.msn}==>{google bn.uol.com.br} (0.01,1.0)
{yahoo view.atdmt.com ad.doubleclick.net terra globo}==>{google} (0.01,1.0)
{youtube yahoo ceipmsn}==>{orkut} (0.01,1.0)
{ad.doubleclick.net ad.yieldmanager.com rad.msn uai}==>{google} (0.008571428,1.0)
{ad.doubleclick.net orkut uai ad.yieldmanager.com bn.uol.com.br}==>{google} (0.008571428,1.0)
{ad.doubleclick.net orkut uai yahoo bn.uol.com.br}==>{google} (0.008571428,1.0)
{ad.doubleclick.net terra globo view.atdmt.com ad.yieldmanager.com yahoo}==>{google} (0.008571428,1.0)
{ad.doubleclick.net terra google view.atdmt.com ad.yieldmanager.com yahoo}==>{globo} (0.008571428,1.0)
{ad.doubleclick.net yahoo ad.yieldmanager.com bn.uol.com.br rad.msn}==>{google} (0.008571428,1.0)
{bn.uol.com.br ad.doubleclick.net gstatic}==>{google} (0.008571428,1.0)
{bn.uol.com.br ad.yieldmanager.com uai terra}==>{google yahoo} (0.008571428,1.0)
{bn.uol.com.br view.atdmt.com terra globo}==>{google} (0.008571428,1.0)
{globo gstatic ad.yieldmanager.com uai}==>{yahoo} (0.008571428,1.0)
{globo rad.msn bn.uol.com.br yahoo ad.yieldmanager.com}==>{google} (0.008571428,1.0)
{globo uai ad.yieldmanager.com yahoo terra ad.doubleclick.net}==>{google} (0.008571428,1.0)
{globo uai bn.uol.com.br terra ad.doubleclick.net}==>{google yahoo} (0.008571428,1.0)
{globo uai google ad.doubleclick.net orkut ad.yieldmanager.com}==>{yahoo} (0.008571428,1.0)
{globo uai google rad.msn yahoo}==>{bn.uol.com.br} (0.008571428,1.0)
{globo uai google yahoo orkut ad.yieldmanager.com}==>{ad.doubleclick.net} (0.008571428,1.0)
{globo view.atdmt.com ad.yieldmanager.com uai ad.doubleclick.net}==>{yahoo} (0.008571428,1.0)
{google orkut terra view.atdmt.com}==>{ad.doubleclick.net} (0.008571428,1.0)
{gstatic ad.yieldmanager.com globo bn.uol.com.br}==>{yahoo} (0.008571428,1.0)
{gstatic orkut yahoo globo}==>{google} (0.008571428,1.0)
{gstatic yahoo globo bn.uol.com.br}==>{ad.yieldmanager.com} (0.008571428,1.0)
{orkut ad.doubleclick.net google ad.yieldmanager.com rad.msn}==>{yahoo} (0.008571428,1.0)
