Numero de regras = 876
premissa ==> conclusao (suporte,confianca)
{ad.doubleclick.net uai ad.yieldmanager.com yahoo terra}==>{google} (0.008450705,1.0)
{ad.doubleclick.net yahoo orkut view.atdmt.com rad.msn}==>{ad.yieldmanager.com} (0.008450705,1.0)
{ad.yieldmanager.com bn.uol.com.br terra google globo}==>{yahoo} (0.008450705,1.0)
{ad.yieldmanager.com bn.uol.com.br view.atdmt.com orkut google globo}==>{yahoo} (0.008450705,1.0)
{ad.yieldmanager.com bn.uol.com.br view.atdmt.com orkut rad.msn}==>{yahoo} (0.008450705,1.0)
{ad.yieldmanager.com yahoo view.atdmt.com orkut google globo}==>{bn.uol.com.br} (0.008450705,1.0)
{bn.uol.com.br orkut rad.msn ad.doubleclick.net globo}==>{yahoo} (0.008450705,1.0)
{bn.uol.com.br view.atdmt.com uai orkut}==>{google} (0.008450705,1.0)
{bn.uol.com.br yahoo rad.msn gstatic}==>{google} (0.008450705,1.0)
{bn.uol.com.br yahoo view.atdmt.com gstatic}==>{google} (0.008450705,1.0)
{globo gstatic ad.yieldmanager.com yahoo}==>{google} (0.008450705,1.0)
{globo gstatic google ad.doubleclick.net yahoo}==>{orkut} (0.008450705,1.0)
{globo gstatic orkut ad.doubleclick.net yahoo}==>{google} (0.008450705,1.0)
{globo youtube orkut bn.uol.com.br}==>{google} (0.008450705,1.0)
{google ad.yieldmanager.com bn.uol.com.br terra orkut}==>{yahoo} (0.008450705,1.0)
{google bn.uol.com.br view.atdmt.com orkut rad.msn}==>{yahoo} (0.008450705,1.0)
{google terra bn.uol.com.br ad.yieldmanager.com ad.doubleclick.net}==>{yahoo} (0.008450705,1.0)
{google uai bn.uol.com.br view.atdmt.com rad.msn}==>{yahoo} (0.008450705,1.0)
{gstatic bn.uol.com.br orkut globo}==>{google} (0.008450705,1.0)
{gstatic globo ad.doubleclick.net ad.yieldmanager.com}==>{google} (0.008450705,1.0)
{gstatic view.atdmt.com ad.doubleclick.net}==>{google} (0.008450705,1.0)
{gstatic view.atdmt.com globo}==>{google} (0.008450705,1.0)
{orkut gstatic ad.doubleclick.net bn.uol.com.br}==>{google} (0.008450705,1.0)
{orkut gstatic rad.msn view.atdmt.com}==>{google} (0.008450705,1.0)
{orkut gstatic rad.msn yahoo}==>{google} (0.008450705,1.0)
{orkut gstatic view.atdmt.com bn.uol.com.br}==>{google} (0.008450705,1.0)
{orkut terra ad.yieldmanager.com bn.uol.com.br ad.doubleclick.net}==>{yahoo} (0.008450705,1.0)
{rad.msn bn.uol.com.br globo google orkut}==>{yahoo} (0.008450705,1.0)
{rad.msn bn.uol.com.br globo orkut ad.yieldmanager.com}==>{yahoo} (0.008450705,1.0)
{rad.msn bn.uol.com.br globo yahoo ad.yieldmanager.com}==>{orkut} (0.008450705,1.0)
{rad.msn yahoo globo orkut ad.yieldmanager.com}==>{bn.uol.com.br} (0.008450705,1.0)
{terra ad.doubleclick.net uai orkut}==>{google} (0.008450705,1.0)
{terra bn.uol.com.br orkut globo ad.yieldmanager.com}==>{yahoo} (0.008450705,1.0)
{terra yahoo orkut globo ad.yieldmanager.com}==>{bn.uol.com.br} (0.008450705,1.0)
{uai ad.doubleclick.net view.atdmt.com yahoo ad.yieldmanager.com}==>{google} (0.008450705,1.0)
{uai ad.doubleclick.net view.atdmt.com yahoo bn.uol.com.br}==>{google} (0.008450705,1.0)
{uai bn.uol.com.br ad.yieldmanager.com view.atdmt.com}==>{google yahoo} (0.008450705,1.0)
{uai globo ad.doubleclick.net ad.yieldmanager.com orkut}==>{google} (0.008450705,1.0)
{uai globo terra yahoo ad.yieldmanager.com}==>{google} (0.008450705,1.0)
{uai google ceipmsn ad.yieldmanager.com}==>{yahoo} (0.008450705,1.0)
{uai youtube globo}==>{google} (0.008450705,1.0)
{view.atdmt.com orkut ad.yieldmanager.com ad.doubleclick.net bn.uol.com.br}==>{yahoo} (0.008450705,1.0)
{view.atdmt.com orkut yahoo ad.doubleclick.net bn.uol.com.br}==>{ad.yieldmanager.com} (0.008450705,1.0)
{yahoo ad.doubleclick.net youtube globo}==>{orkut google} (0.008450705,1.0)
{yahoo globo rad.msn bn.uol.com.br ad.doubleclick.net}==>{orkut} (0.008450705,1.0)
{yahoo gstatic orkut uai}==>{google} (0.008450705,1.0)
{yahoo orkut rad.msn ad.doubleclick.net bn.uol.com.br}==>{globo} (0.008450705,1.0)
{yahoo orkut rad.msn ad.doubleclick.net globo}==>{bn.uol.com.br} (0.008450705,1.0)
{yahoo uai bn.uol.com.br view.atdmt.com rad.msn}==>{google} (0.008450705,1.0)
{youtube bn.uol.com.br view.atdmt.com}==>{yahoo} (0.008450705,1.0)
{youtube gstatic ad.yieldmanager.com}==>{google yahoo} (0.008450705,1.0)
{youtube yahoo ad.yieldmanager.com globo}==>{google} (0.008450705,1.0)
{youtube yahoo bn.uol.com.br globo}==>{google} (0.008450705,1.0)
{ad.doubleclick.net ad.yieldmanager.com view.atdmt.com globo rad.msn}==>{bn.uol.com.br} (0.0070422534,1.0)
{ad.doubleclick.net bn.uol.com.br view.atdmt.com globo rad.msn}==>{ad.yieldmanager.com} (0.0070422534,1.0)
{ad.doubleclick.net bn.uol.com.br yahoo gstatic orkut}==>{google} (0.0070422534,1.0)
{ad.doubleclick.net bn.uol.com.br yahoo uai terra}==>{google} (0.0070422534,1.0)
