Numero de regras = 205
premissa ==> conclusao (suporte,confianca)
{ad.doubleclick.net yahoo uai}==>{gstatic bn.uol.com.br ad.yieldmanager.com} (0.0031746032,1.0)
{ad.doubleclick.net youtube terra}==>{orkut} (0.0031746032,1.0)
{ad.yieldmanager.com view.atdmt.com ad.doubleclick.net}==>{globo orkut youtube google bn.uol.com.br} (0.0031746032,1.0)
{ad.yieldmanager.com view.atdmt.com bn.uol.com.br orkut}==>{globo youtube google ad.doubleclick.net} (0.0031746032,1.0)
{ad.yieldmanager.com view.atdmt.com bn.uol.com.br rad.msn}==>{globo youtube google ceipmsn yahoo} (0.0031746032,1.0)
{ad.yieldmanager.com view.atdmt.com bn.uol.com.br yahoo}==>{globo youtube google rad.msn ceipmsn} (0.0031746032,1.0)
{ad.yieldmanager.com view.atdmt.com ceipmsn yahoo}==>{globo youtube google rad.msn bn.uol.com.br} (0.0031746032,1.0)
{ad.yieldmanager.com view.atdmt.com globo orkut}==>{youtube google ad.doubleclick.net bn.uol.com.br} (0.0031746032,1.0)
{ad.yieldmanager.com view.atdmt.com globo yahoo}==>{youtube google rad.msn bn.uol.com.br ceipmsn} (0.0031746032,1.0)
{ad.yieldmanager.com view.atdmt.com gstatic}==>{google} (0.0031746032,1.0)
{ad.yieldmanager.com yahoo rad.msn orkut}==>{globo google bn.uol.com.br ceipmsn} (0.0031746032,1.0)
{ad.yieldmanager.com youtube ad.doubleclick.net}==>{globo orkut google view.atdmt.com bn.uol.com.br} (0.0031746032,1.0)
{ad.yieldmanager.com youtube bn.uol.com.br orkut}==>{globo google ad.doubleclick.net view.atdmt.com} (0.0031746032,1.0)
{ad.yieldmanager.com youtube bn.uol.com.br yahoo}==>{globo google rad.msn view.atdmt.com ceipmsn} (0.0031746032,1.0)
{ad.yieldmanager.com youtube ceipmsn}==>{globo google rad.msn view.atdmt.com bn.uol.com.br yahoo} (0.0031746032,1.0)
{ad.yieldmanager.com youtube globo orkut}==>{google ad.doubleclick.net view.atdmt.com bn.uol.com.br} (0.0031746032,1.0)
{ad.yieldmanager.com youtube globo yahoo}==>{google rad.msn view.atdmt.com bn.uol.com.br ceipmsn} (0.0031746032,1.0)
{ad.yieldmanager.com youtube orkut yahoo}==>{google view.atdmt.com} (0.0031746032,1.0)
{bn.uol.com.br ad.doubleclick.net ad.yieldmanager.com globo}==>{orkut youtube google view.atdmt.com} (0.0031746032,1.0)
{bn.uol.com.br ad.doubleclick.net ad.yieldmanager.com google}==>{globo orkut youtube view.atdmt.com} (0.0031746032,1.0)
{bn.uol.com.br ad.doubleclick.net ad.yieldmanager.com orkut}==>{globo youtube google view.atdmt.com} (0.0031746032,1.0)
{bn.uol.com.br ad.doubleclick.net view.atdmt.com orkut}==>{globo youtube google ad.yieldmanager.com} (0.0031746032,1.0)
{bn.uol.com.br ad.doubleclick.net youtube}==>{globo orkut google view.atdmt.com ad.yieldmanager.com} (0.0031746032,1.0)
{bn.uol.com.br ad.yieldmanager.com terra}==>{google} (0.0031746032,1.0)
{bn.uol.com.br globo view.atdmt.com orkut}==>{youtube google ad.doubleclick.net ad.yieldmanager.com} (0.0031746032,1.0)
{bn.uol.com.br globo view.atdmt.com yahoo}==>{youtube google rad.msn ad.yieldmanager.com ceipmsn} (0.0031746032,1.0)
{bn.uol.com.br globo youtube ceipmsn}==>{google rad.msn view.atdmt.com ad.yieldmanager.com yahoo} (0.0031746032,1.0)
{bn.uol.com.br globo youtube orkut}==>{google ad.doubleclick.net view.atdmt.com ad.yieldmanager.com} (0.0031746032,1.0)
{bn.uol.com.br globo youtube yahoo}==>{google rad.msn view.atdmt.com ad.yieldmanager.com ceipmsn} (0.0031746032,1.0)
{bn.uol.com.br rad.msn ad.yieldmanager.com orkut}==>{globo google ceipmsn yahoo} (0.0031746032,1.0)
{bn.uol.com.br rad.msn yahoo orkut}==>{globo google ad.yieldmanager.com ceipmsn} (0.0031746032,1.0)
{bn.uol.com.br terra ceipmsn}==>{youtube} (0.0031746032,1.0)
{bn.uol.com.br terra youtube}==>{ceipmsn} (0.0031746032,1.0)
{bn.uol.com.br yahoo view.atdmt.com rad.msn}==>{globo youtube google ad.yieldmanager.com ceipmsn} (0.0031746032,1.0)
{bn.uol.com.br youtube view.atdmt.com orkut}==>{globo google ad.doubleclick.net ad.yieldmanager.com} (0.0031746032,1.0)
{ceipmsn bn.uol.com.br uai}==>{yahoo} (0.0031746032,1.0)
{ceipmsn globo view.atdmt.com}==>{youtube google rad.msn bn.uol.com.br ad.yieldmanager.com yahoo} (0.0031746032,1.0)
{ceipmsn google ad.yieldmanager.com orkut}==>{globo rad.msn bn.uol.com.br yahoo} (0.0031746032,1.0)
{ceipmsn google bn.uol.com.br orkut}==>{globo rad.msn ad.yieldmanager.com yahoo} (0.0031746032,1.0)
{ceipmsn gstatic youtube}==>{orkut} (0.0031746032,1.0)
{ceipmsn rad.msn ad.yieldmanager.com orkut}==>{globo google bn.uol.com.br yahoo} (0.0031746032,1.0)
{ceipmsn rad.msn bn.uol.com.br orkut}==>{globo google ad.yieldmanager.com yahoo} (0.0031746032,1.0)
{ceipmsn rad.msn yahoo orkut}==>{globo google bn.uol.com.br ad.yieldmanager.com} (0.0031746032,1.0)
{ceipmsn terra youtube}==>{bn.uol.com.br} (0.0031746032,1.0)
{ceipmsn view.atdmt.com bn.uol.com.br}==>{globo youtube google rad.msn ad.yieldmanager.com yahoo} (0.0031746032,1.0)
{ceipmsn yahoo uai}==>{bn.uol.com.br} (0.0031746032,1.0)
{globo ad.doubleclick.net yahoo}==>{terra ad.yieldmanager.com ceipmsn} (0.0031746032,1.0)
{globo ceipmsn ad.yieldmanager.com orkut}==>{google rad.msn bn.uol.com.br yahoo} (0.0031746032,1.0)
{globo ceipmsn bn.uol.com.br orkut}==>{google rad.msn ad.yieldmanager.com yahoo} (0.0031746032,1.0)
{globo ceipmsn google orkut}==>{rad.msn bn.uol.com.br ad.yieldmanager.com yahoo} (0.0031746032,1.0)
{globo ceipmsn yahoo orkut}==>{google rad.msn bn.uol.com.br ad.yieldmanager.com} (0.0031746032,1.0)
{globo google ad.doubleclick.net ad.yieldmanager.com}==>{orkut youtube view.atdmt.com bn.uol.com.br} (0.0031746032,1.0)
{globo orkut ad.doubleclick.net ad.yieldmanager.com}==>{youtube google view.atdmt.com bn.uol.com.br} (0.0031746032,1.0)
{globo rad.msn orkut}==>{google bn.uol.com.br ad.yieldmanager.com ceipmsn yahoo} (0.0031746032,1.0)
{globo terra ad.yieldmanager.com}==>{ad.doubleclick.net ceipmsn yahoo} (0.0031746032,1.0)
{globo terra ceipmsn}==>{ad.doubleclick.net ad.yieldmanager.com yahoo} (0.0031746032,1.0)
{globo terra yahoo}==>{ad.doubleclick.net ad.yieldmanager.com ceipmsn} (0.0031746032,1.0)
{globo view.atdmt.com ad.doubleclick.net}==>{orkut youtube google bn.uol.com.br ad.yieldmanager.com} (0.0031746032,1.0)
{globo yahoo ad.yieldmanager.com orkut google}==>{rad.msn bn.uol.com.br ceipmsn} (0.0031746032,1.0)
{globo yahoo bn.uol.com.br orkut}==>{google rad.msn ad.yieldmanager.com ceipmsn} (0.0031746032,1.0)
{globo youtube ad.doubleclick.net}==>{orkut google view.atdmt.com bn.uol.com.br ad.yieldmanager.com} (0.0031746032,1.0)
{google ad.doubleclick.net ceipmsn gstatic}==>{orkut yahoo} (0.0031746032,1.0)
{google ad.doubleclick.net yahoo}==>{orkut gstatic ceipmsn} (0.0031746032,1.0)
{google ad.yieldmanager.com bn.uol.com.br yahoo orkut}==>{globo rad.msn ceipmsn} (0.0031746032,1.0)
{google ad.yieldmanager.com oss-content.securestudies}==>{orkut} (0.0031746032,1.0)
{google ceipmsn view.atdmt.com yahoo}==>{globo youtube rad.msn bn.uol.com.br ad.yieldmanager.com} (0.0031746032,1.0)
{google globo view.atdmt.com yahoo}==>{youtube rad.msn bn.uol.com.br ad.yieldmanager.com ceipmsn} (0.0031746032,1.0)
{google orkut ceipmsn ad.doubleclick.net}==>{gstatic yahoo} (0.0031746032,1.0)
{google orkut ceipmsn gstatic}==>{ad.doubleclick.net yahoo} (0.0031746032,1.0)
{google rad.msn ad.yieldmanager.com orkut}==>{globo bn.uol.com.br ceipmsn yahoo} (0.0031746032,1.0)
{google rad.msn yahoo orkut}==>{globo bn.uol.com.br ad.yieldmanager.com ceipmsn} (0.0031746032,1.0)
{google view.atdmt.com ad.doubleclick.net bn.uol.com.br}==>{globo orkut youtube ad.yieldmanager.com} (0.0031746032,1.0)
{google view.atdmt.com ad.doubleclick.net orkut}==>{globo youtube bn.uol.com.br ad.yieldmanager.com} (0.0031746032,1.0)
{google view.atdmt.com ad.doubleclick.net youtube}==>{globo orkut bn.uol.com.br ad.yieldmanager.com} (0.0031746032,1.0)
{google view.atdmt.com orkut yahoo}==>{youtube ad.yieldmanager.com} (0.0031746032,1.0)
{google yahoo ceipmsn gstatic}==>{orkut ad.doubleclick.net} (0.0031746032,1.0)
{google youtube ad.doubleclick.net orkut}==>{globo view.atdmt.com bn.uol.com.br ad.yieldmanager.com} (0.0031746032,1.0)
{google youtube ceipmsn bn.uol.com.br}==>{globo rad.msn view.atdmt.com ad.yieldmanager.com yahoo} (0.0031746032,1.0)
{google youtube globo ceipmsn}==>{rad.msn view.atdmt.com bn.uol.com.br ad.yieldmanager.com yahoo} (0.0031746032,1.0)
