Numero de regras = 123
premissa ==> conclusao (suporte,confianca)
{orkut terra yahoo}==>{google} (0.0034013605,1.0)
{orkut uai yahoo}==>{google} (0.0034013605,1.0)
{orkut yahoo ceipmsn ad.yieldmanager.com}==>{globo} (0.0034013605,1.0)
{rad.msn ad.doubleclick.net ad.yieldmanager.com}==>{orkut google} (0.0034013605,1.0)
{rad.msn ad.doubleclick.net bn.uol.com.br}==>{orkut uai google} (0.0034013605,1.0)
{rad.msn ceipmsn view.atdmt.com}==>{orkut google} (0.0034013605,1.0)
{rad.msn google orkut ad.yieldmanager.com}==>{ad.doubleclick.net} (0.0034013605,1.0)
{rad.msn google orkut yahoo}==>{globo view.atdmt.com} (0.0034013605,1.0)
{rad.msn view.atdmt.com yahoo}==>{globo orkut google} (0.0034013605,1.0)
{terra ceipmsn orkut}==>{view.atdmt.com} (0.0034013605,1.0)
{terra ceipmsn view.atdmt.com}==>{orkut} (0.0034013605,1.0)
{uai ad.doubleclick.net rad.msn}==>{orkut google bn.uol.com.br} (0.0034013605,1.0)
{uai bn.uol.com.br ad.doubleclick.net orkut}==>{google rad.msn} (0.0034013605,1.0)
{uai bn.uol.com.br rad.msn}==>{orkut google ad.doubleclick.net} (0.0034013605,1.0)
{uai globo bn.uol.com.br}==>{view.atdmt.com} (0.0034013605,1.0)
{uai google rad.msn}==>{orkut ad.doubleclick.net bn.uol.com.br} (0.0034013605,1.0)
{uai orkut rad.msn}==>{google ad.doubleclick.net bn.uol.com.br} (0.0034013605,1.0)
{uai view.atdmt.com bn.uol.com.br}==>{globo} (0.0034013605,1.0)
{uai youtube globo}==>{google} (0.0034013605,1.0)
{view.atdmt.com ad.doubleclick.net terra}==>{google} (0.0034013605,1.0)
{view.atdmt.com ad.yieldmanager.com globo}==>{google} (0.0034013605,1.0)
{view.atdmt.com ceipmsn google gstatic}==>{yahoo} (0.0034013605,1.0)
{view.atdmt.com ceipmsn yahoo}==>{gstatic google} (0.0034013605,1.0)
{view.atdmt.com google terra}==>{ad.doubleclick.net} (0.0034013605,1.0)
{view.atdmt.com gstatic bn.uol.com.br}==>{ceipmsn} (0.0034013605,1.0)
{view.atdmt.com gstatic rad.msn}==>{google} (0.0034013605,1.0)
{view.atdmt.com oss-content.securestudies}==>{google} (0.0034013605,1.0)
