Numero de regras = 1246
premissa ==> conclusao (suporte,confianca)
{rad.msn view.atdmt.com ad.yieldmanager.com bn.uol.com.br}==>{google} (0.013986014,1.0)
{rad.msn view.atdmt.com bn.uol.com.br yahoo}==>{google} (0.013986014,1.0)
{terra ad.yieldmanager.com gstatic google}==>{yahoo} (0.013986014,1.0)
{uai bn.uol.com.br yahoo ad.yieldmanager.com view.atdmt.com}==>{google} (0.013986014,1.0)
{uai globo ad.yieldmanager.com orkut}==>{google} (0.013986014,1.0)
{uai globo view.atdmt.com ad.yieldmanager.com}==>{google} (0.013986014,1.0)
{uai globo view.atdmt.com orkut}==>{google} (0.013986014,1.0)
{uai orkut gstatic ad.yieldmanager.com}==>{google yahoo} (0.013986014,1.0)
{view.atdmt.com yahoo ad.doubleclick.net orkut}==>{google} (0.013986014,1.0)
{view.atdmt.com yahoo bn.uol.com.br uai orkut}==>{google} (0.013986014,1.0)
{yahoo bn.uol.com.br orkut youtube}==>{google ad.yieldmanager.com} (0.013986014,1.0)
{yahoo view.atdmt.com google youtube orkut}==>{ad.yieldmanager.com} (0.013986014,1.0)
{youtube ad.doubleclick.net uai}==>{google} (0.013986014,1.0)
{youtube bn.uol.com.br ad.doubleclick.net}==>{google} (0.013986014,1.0)
{youtube gstatic orkut ad.yieldmanager.com google}==>{yahoo} (0.013986014,1.0)
{youtube view.atdmt.com yahoo ad.yieldmanager.com bn.uol.com.br}==>{google} (0.013986014,1.0)
{ad.doubleclick.net bn.uol.com.br ad.yieldmanager.com youtube}==>{google} (0.012587412,1.0)
{ad.doubleclick.net uai yahoo ad.yieldmanager.com orkut}==>{google} (0.012587412,1.0)
{ad.yieldmanager.com bn.uol.com.br orkut globo}==>{google} (0.012587412,1.0)
{ad.yieldmanager.com view.atdmt.com google orkut globo}==>{yahoo} (0.012587412,1.0)
{ad.yieldmanager.com view.atdmt.com uai orkut}==>{google yahoo} (0.012587412,1.0)
{bn.uol.com.br ad.doubleclick.net gstatic}==>{google yahoo} (0.012587412,1.0)
{bn.uol.com.br ad.doubleclick.net uai orkut}==>{google} (0.012587412,1.0)
{bn.uol.com.br view.atdmt.com youtube orkut}==>{google} (0.012587412,1.0)
{google gstatic ad.doubleclick.net ad.yieldmanager.com globo}==>{yahoo} (0.012587412,1.0)
{gstatic ad.doubleclick.net ad.yieldmanager.com uai}==>{yahoo} (0.012587412,1.0)
{orkut ad.doubleclick.net rad.msn}==>{google} (0.012587412,1.0)
{orkut bn.uol.com.br view.atdmt.com globo}==>{google} (0.012587412,1.0)
{orkut gstatic google view.atdmt.com}==>{yahoo} (0.012587412,1.0)
{orkut gstatic rad.msn yahoo}==>{google} (0.012587412,1.0)
{rad.msn ad.yieldmanager.com yahoo bn.uol.com.br view.atdmt.com}==>{google} (0.012587412,1.0)
{uai globo view.atdmt.com bn.uol.com.br yahoo}==>{google} (0.012587412,1.0)
{uai globo yahoo ad.yieldmanager.com view.atdmt.com}==>{google} (0.012587412,1.0)
{uai google gstatic ad.doubleclick.net}==>{orkut yahoo} (0.012587412,1.0)
{uai orkut gstatic ad.doubleclick.net}==>{google yahoo} (0.012587412,1.0)
{uai orkut gstatic bn.uol.com.br}==>{google yahoo} (0.012587412,1.0)
{uai orkut youtube yahoo}==>{google} (0.012587412,1.0)
{yahoo rad.msn uai orkut}==>{google} (0.012587412,1.0)
{youtube gstatic bn.uol.com.br yahoo}==>{google} (0.012587412,1.0)
{youtube rad.msn ad.yieldmanager.com}==>{google} (0.012587412,1.0)
{youtube view.atdmt.com ad.doubleclick.net}==>{google} (0.012587412,1.0)
