Numero de regras = 155
premissa ==> conclusao (suporte,confianca)
{google globo ceipmsn bn.uol.com.br}==>{terra yahoo} (0.003236246,1.0)
{google globo ceipmsn terra}==>{bn.uol.com.br yahoo} (0.003236246,1.0)
{google globo yahoo orkut}==>{rad.msn view.atdmt.com bn.uol.com.br ad.yieldmanager.com} (0.003236246,1.0)
{google globo yahoo terra}==>{bn.uol.com.br ceipmsn} (0.003236246,1.0)
{google gstatic ad.doubleclick.net}==>{terra} (0.003236246,1.0)
{google orkut ceipmsn rad.msn}==>{yahoo} (0.003236246,1.0)
{google orkut rad.msn ad.yieldmanager.com}==>{globo view.atdmt.com bn.uol.com.br yahoo} (0.003236246,1.0)
{google orkut rad.msn bn.uol.com.br}==>{globo view.atdmt.com ad.yieldmanager.com yahoo} (0.003236246,1.0)
{google orkut youtube ceipmsn}==>{bn.uol.com.br ad.yieldmanager.com yahoo} (0.003236246,1.0)
{google terra youtube}==>{rad.msn view.atdmt.com} (0.003236246,1.0)
{google yahoo ceipmsn terra}==>{globo bn.uol.com.br} (0.003236246,1.0)
{gstatic bn.uol.com.br rad.msn}==>{google ceipmsn} (0.003236246,1.0)
{gstatic ceipmsn google}==>{rad.msn bn.uol.com.br} (0.003236246,1.0)
{gstatic ceipmsn orkut}==>{view.atdmt.com} (0.003236246,1.0)
{gstatic ceipmsn rad.msn}==>{google bn.uol.com.br} (0.003236246,1.0)
{gstatic google rad.msn view.atdmt.com}==>{youtube} (0.003236246,1.0)
{gstatic google rad.msn youtube}==>{view.atdmt.com} (0.003236246,1.0)
{gstatic google view.atdmt.com youtube}==>{rad.msn} (0.003236246,1.0)
{gstatic view.atdmt.com globo}==>{google} (0.003236246,1.0)
{gstatic yahoo globo}==>{google} (0.003236246,1.0)
{gstatic youtube view.atdmt.com rad.msn}==>{google} (0.003236246,1.0)
{orkut ad.doubleclick.net rad.msn}==>{google} (0.003236246,1.0)
{orkut bn.uol.com.br terra}==>{globo uai} (0.003236246,1.0)
{orkut globo ad.yieldmanager.com bn.uol.com.br}==>{google rad.msn view.atdmt.com yahoo} (0.003236246,1.0)
{orkut globo ad.yieldmanager.com yahoo}==>{google rad.msn view.atdmt.com bn.uol.com.br} (0.003236246,1.0)
{orkut globo bn.uol.com.br google}==>{rad.msn view.atdmt.com ad.yieldmanager.com yahoo} (0.003236246,1.0)
{orkut globo bn.uol.com.br yahoo}==>{google rad.msn view.atdmt.com ad.yieldmanager.com} (0.003236246,1.0)
{orkut globo google rad.msn}==>{view.atdmt.com bn.uol.com.br ad.yieldmanager.com yahoo} (0.003236246,1.0)
{orkut globo view.atdmt.com google}==>{rad.msn bn.uol.com.br ad.yieldmanager.com yahoo} (0.003236246,1.0)
{orkut globo view.atdmt.com rad.msn}==>{google bn.uol.com.br ad.yieldmanager.com yahoo} (0.003236246,1.0)
{orkut gstatic ad.yieldmanager.com google}==>{bn.uol.com.br yahoo} (0.003236246,1.0)
